customer_tweet_id,customer_text,brand_responses,review_bucket
9089,@GloCare @117625 @117626 @117627 Recall this is the 13th times given out this number to you people especially TT,@117624 @117625 @117626 @117627 Record shows the VAS has been deactivated since yesterday.  Stay Unlimited!  TT || @117624 @117625 @117626 @117627 Record shows the VAS has been deactivated since yesterday.  Stay Unlimited!  TT || @117624 @117625 @117626 @117627 Record shows the VAS has been deactivated since yesterday.  Stay Unlimited!  TT,account_general_candidate|data_plan_candidate|voice_line_candidate
21374,@GloCare Deduction of 150 from my account for caller tunes which I never subscribed to,@120678 We apologize. May we have your number for assistance? SO || @120678 We apologize. May we have your number for assistance? SO || @120678 We apologize. May we have your number for assistance? SO,account_general_candidate|data_plan_candidate|voice_line_candidate
28324,"@GloCare #1000  was deducted f on my account balance  yesterday 

I dial *127*53#",@122203 Please confirm the date you subscribed? SO,account_general_candidate|voice_line_candidate
28340,"@GloCare 892__credit_card__F.      Outlets visited are: 1) Gloworld @ Aba road, waterlines, Port Harcourt. 2)Wuse2 Abuja",@122206 We have just tried to reach and the line is active now. Please confirm. UO,account_general_candidate|voice_line_candidate
